term,mean,max,min,std,document_count
contempl,0.04225888443539711,0.22391455878163066,0.002553314254822759,0.05769308139951782,32
grav,0.02613303091281085,0.26590118888943864,0.0015705204250625634,0.038078147125446556,174
cuot,0.052374646059040256,0.29849114608477845,0.0012883534247184894,0.09576559210674261,19
administr,0.03516149843682963,0.2185488450050609,0.0008255433581153143,0.04707108617123405,208
conjunt,0.026173241555015433,0.17143225740501414,0.0008957160200625454,0.03493738606563723,107
tod,0.015249311737669382,0.0995832460029041,0.000688974027694387,0.016291392137192436,1512
vehicul,0.05601333376154291,0.18857918341593202,0.000856788657046488,0.04948487978348599,127
fij,0.033126499463832275,0.2033016376538954,0.0024588433361108844,0.05059638931344737,63
iva,0.04614361462500799,0.23772393249781526,0.005308971197221681,0.0684436949643675,9
gasolin,0.06148932644292915,0.18341515217213278,0.0011249907107332088,0.05173518231949371,39
acpm,0.15917220667976725,0.29343050274878835,0.024913910610746184,0.13425829606902107,2
compr,0.02559767658252078,0.16830316141870325,0.0008900444194894909,0.03690161081980765,161
onlin,0.03537376780346675,0.23029168451773557,0.0033357701083577577,0.06246763708086164,11
transmision,0.03293833165616059,0.3025488873914341,0.0025339102796602523,0.05563588087001078,59
viv,0.02048903439990728,0.1726603187301278,0.0006824518526882522,0.02785530421008031,414
aparec,0.03388330757532905,0.23902218889231974,0.000814478153881144,0.044874469976639436,153
letrer,0.17437463108518234,0.5011438977406081,0.010989997757469476,0.2310607643354067,3
agreg,0.012448371055118082,0.23480137026469794,0.0009570708027093666,0.020298753952081094,163
digital,0.05291094691204342,0.2806034338341985,0.0016384007425118636,0.060621323049095774,82
era,0.016643630792764392,0.17280904478447934,0.0006375037225250885,0.02346330276848475,491
chist,0.0810919101313115,0.5952971351950832,0.010070816196909303,0.15657382288463176,26
supuest,0.022985250720660128,0.16722048269340187,0.0006983686052160636,0.032132260089328686,272
